comment,label
You're so dumb,toxic
Legend!,support
You sound horrible,toxic
You're amazing!,support
You're such a loser,toxic
Legend!,support
Cringe content,toxic
So clear and helpful,support
Cringe content,toxic
I learned a lot!,support
Stop making content,toxic
I learned a lot!,support
Waste of time,toxic
I learned a lot!,support
Cringe content,toxic
Best tutorial I've seen,support
Waste of time,toxic
You're amazing!,support
Stop making content,toxic
So clear and helpful,support
Waste of time,toxic
Best tutorial I've seen,support
Can't believe people like this,toxic
Thanks for the content!,support
Waste of time,toxic
Keep up the great work,support
Worst video ever,toxic
Legend!,support
Cringe content,toxic
Much appreciated!,support
You sound horrible,toxic
This helped me a lot!,support
You're so dumb,toxic
Legend!,support
Waste of time,toxic
Thanks for the content!,support
This is trash,toxic
Awesome explanation,support
Worst video ever,toxic
I learned a lot!,support
Can't believe people like this,toxic
Best tutorial I've seen,support
Stop making content,toxic
You're amazing!,support
Waste of time,toxic
Legend!,support
You sound horrible,toxic
Thanks for the content!,support
This is trash,toxic
Awesome explanation,support
Can't believe people like this,toxic
Best tutorial I've seen,support
Cringe content,toxic
Keep up the great work,support
Clickbait title,toxic
Legend!,support
Clickbait title,toxic
You're amazing!,support
Cringe content,toxic
Awesome explanation,support
Can't believe people like this,toxic
Best tutorial I've seen,support
You're so dumb,toxic
Keep up the great work,support
Waste of time,toxic
You're amazing!,support
You're so dumb,toxic
Much appreciated!,support
Can't believe people like this,toxic
I learned a lot!,support
Cringe content,toxic
You're amazing!,support
Can't believe people like this,toxic
Best tutorial I've seen,support
Clickbait title,toxic
Legend!,support
Worst video ever,toxic
Best tutorial I've seen,support
You're so dumb,toxic
Best tutorial I've seen,support
Worst video ever,toxic
So clear and helpful,support
Stop making content,toxic
Awesome explanation,support
Worst video ever,toxic
I learned a lot!,support
Worst video ever,toxic
This helped me a lot!,support
Clickbait title,toxic
Thanks for the content!,support
Cringe content,toxic
Keep up the great work,support
Clickbait title,toxic
You're amazing!,support
Can't believe people like this,toxic
So clear and helpful,support
Clickbait title,toxic
Keep up the great work,support
Clickbait title,toxic
Keep up the great work,support
